,Unnamed: 0,level_0,level_1,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,roce_rank,ticker_x,coef_x,r_squared_x,std_x,coef_rank_x,std_rank_x,average_score,ticker_y,coef_y,r_squared_y,std_y,coef_rank_y,std_rank_y,coef_w
635,10169,FLIC,Return on Capital Employed,0.0171,0.0171,0.0175,0.0185,0.0213,0.0239,0.0196,0.0176,0.0175,0.0208,,1065.0,FLIC,0.0,0.11708239424340317,0.002162151706055798,662.5,8.0,228.35833333333335,FLIC,0.0,0.11708239424340317,0.002162151706055798,662.5,8.0,0.0
636,10185,FLL,Return on Capital Employed,-0.1264,0.0403,0.0317,0.0367,0.0399,0.0268,0.0524,0.0821,0.0154,0.0301,,993.0,FLL,0.009213333333768713,0.25329042295035153,0.052581669809925215,244.0,656.0,176.83333333333334,FLL,0.009213333333768713,0.25329042295035153,0.052581669809925215,260.0,656.0,0.00233364909689285
637,10201,FLNC,Return on Capital Employed,,,,,,-1.7,2.8253,2.9496,-0.4492,-0.1742,,1467.0,FLNC,,,1.8666556233006664,,1736.0,,FLNC,,,1.8666556233006664,,1736.0,
638,10217,FLNG,Return on Capital Employed,-0.0119,-0.0103,-0.0069,-0.0149,0.0234,0.0322,0.023,0.0895,0.1048,0.0895,,506.0,FLNG,0.014077575758239987,0.8386006201373589,0.04415473247569279,183.0,574.0,112.84999999999998,FLNG,0.014077575758239987,0.8386006201373589,0.04415473247569279,112.0,574.0,0.011805463760890703
639,10233,FLR,Return on Capital Employed,0.1837,0.1462,0.1024,0.0662,0.0846,-0.2981,-0.0361,-0.0128,0.0839,0.0995,,451.0,FLR,0.0,0.10988486633650163,0.12915788206687193,662.5,1173.0,225.20833333333334,FLR,0.0,0.10988486633650163,0.12915788206687193,662.5,1173.0,0.0
640,10249,FLXS,Return on Capital Employed,0.1372,0.1846,0.1779,0.1614,0.1032,0.099,-0.1832,0.1598,0.033,0.0449,0.0799,846.0,FLXS,-0.018305454546322868,0.2535805342342553,0.10441178860645957,1121.0,1054.0,342.81666666666666,FLXS,-0.018305454546322868,0.2535805342342553,0.10441178860645957,1070.0,1054.0,-0.00464190694325743
641,10265,FLYW,Return on Capital Employed,,,,,,-0.2938,-0.086,-0.0458,-0.0727,-0.0049,,1215.0,FLYW,,,0.10047818867794145,,1036.0,,FLYW,,,0.10047818867794145,,1036.0,
642,10281,FMAO,Return on Capital Employed,0.0184,0.0324,0.0362,0.0405,0.0435,0.0434,0.0362,0.0249,0.0342,0.0201,,1072.5,FMAO,0.0,0.007066444076291534,0.008614615487646563,662.5,109.0,234.15833333333333,FMAO,0.0,0.007066444076291534,0.008614615487646563,662.5,109.0,0.0
643,10297,FMBH,Return on Capital Employed,0.0174,0.0138,0.0132,0.017,0.016,0.0228,0.0162,0.0137,0.0182,0.0533,,763.5,FMBH,0.002186666666769935,0.30572700790420315,0.01135906686308343,336.0,151.0,145.5,FMBH,0.002186666666769935,0.30572700790420315,0.01135906686308343,336.0,151.0,0.0006685230573154295
644,10313,FMNB,Return on Capital Employed,0.015,0.0089,0.0183,0.0212,0.0247,0.0264,0.0216,0.055,0.0228,0.0176,,1103.5,FMNB,0.001861212121300318,0.2105221791216525,0.011651287482505957,347.0,155.0,181.7166666666667,FMNB,0.001861212121300318,0.2105221791216525,0.011651287482505957,368.0,155.0,0.0003918264315837764
645,10329,FN,Return on Capital Employed,0.2115,0.0982,0.1163,0.1485,0.112,0.1397,0.1172,0.1294,0.1599,0.1746,0.1749,206.0,FN,0.0,0.0028349471180049157,0.032399939814758916,662.5,426.0,163.35833333333335,FN,0.0,0.0028349471180049157,0.032399939814758916,662.5,426.0,0.0
646,10345,FNA,Return on Capital Employed,,,,,,0.0958,0.0638,-0.0561,-0.3408,-0.1467,,1438.0,FNA,,,0.15784145209671635,,1271.0,,FNA,,,0.15784145209671635,,1271.0,
647,10361,FNKO,Return on Capital Employed,,0.028,0.1446,0.0734,0.0662,0.073,0.036,0.1349,-0.0174,0.0143,,1137.5,FNKO,,,0.05034838872211881,,638.0,,FNKO,,,0.05034838872211881,,638.0,
648,10377,FNLC,Return on Capital Employed,0.0238,0.0235,0.0227,0.023,0.0268,0.0298,0.023,0.0438,0.0674,0.0388,,904.5,FNLC,0.0033381818183375236,0.4948451913245132,0.013630201759328435,315.0,187.0,157.54999999999998,FNLC,0.0033381818183375236,0.4948451913245132,0.013630201759328435,286.0,187.0,0.0016518832205712432
649,10393,FOLD,Return on Capital Employed,-0.3612,-0.1546,-0.2143,-0.7754,-0.4642,-0.4672,-0.3327,-0.2754,-0.3502,-0.1638,,1457.0,FOLD,0.0,0.02025498964910477,0.17454241891299663,662.5,1308.0,332.55833333333334,FOLD,0.0,0.02025498964910477,0.17454241891299663,662.5,1308.0,0.0
650,10409,FOR,Return on Capital Employed,0.0473,-0.1589,0.1357,0.1437,0.1288,0.0352,0.0508,0.0779,0.1139,0.0991,,454.0,FOR,0.0,0.12641716366404576,0.08394164937621848,662.5,929.0,213.30833333333337,FOR,0.0,0.12641716366404576,0.08394164937621848,662.5,929.0,0.0
651,10425,FORM,Return on Capital Employed,-0.0668,-0.0033,-0.093,0.0842,0.0595,0.0753,0.1064,0.1137,0.0681,0.0919,,493.0,FORM,0.018448484849356947,0.5881025984502037,0.06909730819648476,151.0,817.0,117.83333333333333,FORM,0.018448484849356947,0.5881025984502037,0.06909730819648476,119.0,817.0,0.010849601877376037
652,10441,FORR,Return on Capital Employed,0.1218,0.1415,0.194,0.1823,0.1438,-0.0042,0.0488,0.1017,0.0979,0.0288,,1008.5,FORR,-0.013043636364254318,0.36973573732609066,0.061614076313777515,1089.0,744.0,337.7,FORR,-0.013043636364254318,0.36973573732609066,0.061614076313777515,1075.0,744.0,-0.004822698508550979
653,10457,FOXF,Return on Capital Employed,0.1787,0.175,0.1818,0.1948,0.2384,0.2131,0.1006,0.1528,0.1785,0.0776,,580.0,FOXF,-0.008110909091296793,0.25715299605268416,0.04594102850394188,1023.0,594.0,275.25000000000006,FOXF,-0.008110909091296793,0.25715299605268416,0.04594102850394188,1007.0,594.0,-0.0020857445735379242
654,10473,FPI,Return on Capital Employed,0.0036,0.0175,0.0222,0.0198,0.0291,0.0316,0.0234,0.0237,0.0246,0.0536,,759.0,FPI,0.0031545454546940397,0.5734038958961762,0.011965571444774378,320.0,162.0,142.66666666666666,FPI,0.0031545454546940397,0.5734038958961762,0.011965571444774378,280.0,162.0,0.0018088286535031372
655,10489,FRBA,Return on Capital Employed,0.018,0.014,0.0176,0.0179,0.0231,0.0223,0.0195,0.0223,0.023,0.0123,,1149.5,FRBA,0.0,0.03612478548087561,0.0035902646142032483,662.5,26.0,237.70833333333334,FRBA,0.0,0.03612478548087561,0.0035902646142032483,662.5,26.0,0.0
656,10505,FREY,Return on Capital Employed,,,,,,0.0007,-1.9127,-0.1553,-0.1272,-0.1044,,1388.0,FREY,,,0.7283722713008782,,1638.0,,FREY,,,0.7283722713008782,,1638.0,
657,10521,FRGE,Return on Capital Employed,,,,,,-0.1668,-0.0427,-0.0719,-0.3228,-0.2896,,1567.0,FRGE,,,0.1123454066706779,,1108.0,,FRGE,,,0.1123454066706779,,1108.0,
658,10537,FRME,Return on Capital Employed,0.0178,0.0171,0.0188,0.0183,0.026,0.0243,0.0168,0.0179,0.019,0.037,,920.5,FRME,0.0010630303030804919,0.25909554103651145,0.00599849981245311,377.0,71.0,164.71666666666667,FRME,0.0010630303030804919,0.25909554103651145,0.00599849981245311,381.0,71.0,0.0002754264115148468
659,10553,FRPH,Return on Capital Employed,0.0623,0.0602,0.086,0.1306,0.2554,0.024,0.0341,0.0784,0.0132,0.0159,,1122.5,FRPH,0.0,0.10821870870256489,0.06908260924429534,662.5,815.0,274.4583333333333,FRPH,0.0,0.10821870870256489,0.06908260924429534,662.5,815.0,0.0
660,10569,FRST,Return on Capital Employed,0.0179,0.0215,0.023,0.0137,0.028,0.0293,0.0463,0.0528,0.0494,0.0129,,1146.0,FRST,0.002414545454659087,0.24176573387907652,0.014104736793006807,331.0,192.0,184.88333333333333,FRST,0.002414545454659087,0.24176573387907652,0.014104736793006807,348.0,192.0,0.0005837543538300427
661,10585,FSBC,Return on Capital Employed,,,0.0097,0.0109,0.0108,0.0285,0.0239,0.0201,0.0242,0.2385,,115.0,FSBC,,,0.073131264688914,,850.0,,FSBC,,,0.073131264688914,,850.0,
662,10601,FSBW,Return on Capital Employed,0.018,0.0257,0.0566,0.0261,0.0469,0.0278,0.0306,0.025,0.0196,0.0563,,732.5,FSBW,0.0,0.03063589846542203,0.013764606786973612,662.5,188.0,204.10833333333335,FSBW,0.0,0.03063589846542203,0.013764606786973612,662.5,188.0,0.0
663,10617,FSLY,Return on Capital Employed,,,,-0.3179,-0.2209,-0.158,-0.0991,-0.1072,-0.106,-0.0938,,1376.0,FSLY,,,0.07782630581976135,,887.0,,FSLY,,,0.07782630581976135,,887.0,
664,10633,FSP,Return on Capital Employed,0.0217,0.0325,0.0174,0.0087,0.0282,0.0245,0.04,0.0986,0.0202,-0.0171,,1255.0,FSP,0.0,0.001445046047919507,0.02788813547012421,662.5,365.0,265.2083333333333,FSP,0.0,0.001445046047919507,0.02788813547012421,662.5,365.0,0.0
665,10649,FSS,Return on Capital Employed,0.1767,0.1819,0.113,0.0793,0.1401,0.1458,0.123,0.1021,0.12,0.1586,,238.0,FSS,0.0,0.08278511392595078,0.03109177543981688,662.5,410.0,165.75833333333335,FSS,0.0,0.08278511392595078,0.03109177543981688,662.5,410.0,0.0
666,10665,FSTR,Return on Capital Employed,0.1024,-0.0973,-0.4526,0.0542,-0.0794,0.0774,0.0645,0.03,-0.0216,0.0305,,985.5,FSTR,0.0,0.0785405389781727,0.1542624610849963,662.5,1255.0,282.7583333333334,FSTR,0.0,0.0785405389781727,0.1542624610849963,662.5,1255.0,0.0
667,10681,FTAI,Return on Capital Employed,0.0107,0.005,-0.0006,0.0217,0.0258,0.0801,-0.0039,0.0084,0.0273,0.1211,,363.0,FTAI,0.007104242424578861,0.2881375690829391,0.03801410790745983,265.0,493.0,109.53333333333332,FTAI,0.007104242424578861,0.2881375690829391,0.03801410790745983,271.0,493.0,0.0020469991423940383
668,10697,FTDR,Return on Capital Employed,,,0.3071,0.3108,0.273,0.3002,0.2066,0.2981,0.1727,0.3536,,45.0,FTDR,,,0.05561638556891306,,686.0,,FTDR,,,0.05561638556891306,,686.0,
669,10713,FUBO,Return on Capital Employed,-91.4112,1.2909,0.6792,-3.7486,-0.0376,-0.5475,-0.9341,-0.346,-0.4917,-0.3803,,1638.0,FUBO,4.906712121444507,0.2664801980366426,27.301410282783923,5.0,1817.0,255.5666666666667,FUBO,4.906712121444507,0.2664801980366426,27.301410282783923,5.0,1817.0,1.3075416178313268
670,10729,FUL,Return on Capital Employed,0.0613,0.065,0.1212,0.0226,0.076,0.0823,0.072,0.0816,0.0929,0.0925,,490.0,FUL,0.0,0.09659126135426077,0.024230402390385517,662.5,314.0,186.15833333333333,FUL,0.0,0.09659126135426077,0.024230402390385517,662.5,314.0,0.0
